"pm10" "direction" "speed"
"1" 17 18.8439194615155 1.1
"2" 33 93.3073758171612 1.55
"3" 23 139.856797691404 3.36666666666667
"4" 32 46.861374142361 1.7
"5" 1 18.4464209611953 1.35
"6" 21 278.926504632318 1.4
"7" 13 39.8217059196582 1.4
"8" 11 26.4887998480946 2.25
"9" 11 8.82868740524433 1.31666666666667
"10" 25 282.353024935961 2.66666666666667
"11" 4 42.6680357019273 1.85
"12" 21 117.689738922765 1.86666666666667
"13" 28 78.6884987310291 1.46666666666667
"14" 12 47.6623043262345 1.75
"15" 30 16.801132440253 2.83333333333333
"16" 80 112.846672144375 1.41666666666667
"17" 40 105.282819524741 3.51666666666667
"18" 17 42.1422557063745 3.96666666666667
"19" 12 66.5214068155127 4.18333333333333
"20" 9 61.2496473990374 3.98333333333333
"21" 12 82.2244963049882 2.03333333333333
"22" 10 60.0279456177201 3.25
"23" 16 26.6774605229097 2.75
"24" 17 74.4468168509159 3.2
"25" 18 120.339791988564 1.78333333333333
"26" 25 309.633059093254 3.31666666666667
"27" 61 130.006104422162 1.01666666666667
"28" 22 33.4969424152404 4.73333333333333
"29" 19 96.9198308864157 2.3
"30" 28 121.327716852526 1
"31" 13 351.384626933127 6.53333333333333
"32" 12 100.844834964985 1.3
"33" 28 125.807880350401 2.28333333333333
"34" 20 124.848265914401 3
"35" 47 9.49522268291994 1.55
"36" 5 40.3516940751872 2.2
"37" 35 286.599883633443 1.8
"38" 41 110.620494169103 1.71666666666667
"39" 32 242.13534911326 2.63333333333333
"40" 20 342.351824586085 2.35
"41" 15 343.356256888732 6.58333333333333
"42" 18 16.6647420543739 3.36666666666667
"43" 8 76.6457972119752 2
"44" 16 118.520706672444 1.8
"45" 15 129.340226087305 1.95
"46" 14 236.802478329138 4.35
"47" 5.2 252.270704282631 7.75
"48" 6 18.3591662221265 5.81666666666667
"49" 11 306.659309955724 1.7
"50" 19 333.00316161026 6.36666666666667
"51" 8 50.8558861604183 1.16666666666667
